"Job Title","Job Type","Job Qualifications","Job Experience","Job Location","Job Field","Date Posted","Deadline","Job Description","Application","Company URL","Company Name","Company Logo","Company Industry","Company Founded","Company Type","Company Website","Company Address","Company Details","Job URL","Estimated Deadline","Salary Range"
"Consultants to support the development of a Teacher Guideline on activities that help students successfully transition from primary school to lower secondary school; Program Intern","Internship","A-Levels / High School","","Hanoi","Consultancy","","2026-06-25","Aide et Action (AEA – soon to become Action Education) is an international NGO with headquarters in Paris, France. AEA International has been active since 1981 and has projects in 19 countries in Europe, Africa, and Asia. With the vision of “Changing the world through education”, AEA uses a lifelong approach to education for vulnerable youth and children. AEA has been working in Vietnam since 2003 and has been implementing projects in seven provinces: Khanh Hoa, Dak Lak (formerly Phu Yen), Thai Nguyen, Phu Tho (formerly Hoa Binh), Lai Chau, Lao Cai, and An Giang. AEA’s projects focus on three main interventions:
Early Childhood Care and Education (ECCE)
Access and Quality of Education (A&Q)
Livelihood
As part of our commitment to ethical standards and regulatory compliance, and in accordance with the requirements of our donors and international regulations, we inform all applicants that their name may be checked against international sanctions and asset freeze lists. This verification process is carried out with the utmost respect for transparency, security, and in full compliance with applicable data protection laws.
AEA Vietnam is seeking qualified candidates for the following positions:
A consultant or a team of consultants to support the development of a Teacher Guideline on activities that help students successfully transition from primary school to lower secondary school.
The position of Program Intern
The application should be submitted directly by email to
[email protected]
no later than 17:00 on
June 25, 2026.","hr.vietnam@action-education.org","","AEA","","NGO / Development","","INGO","","Hanoi","","https://careerone.vn/jobs/consultants-to-support-the-development-of-a-teacher-guideline-on-activities-that-help-students-successfully-transition-from-primary-school-to-lower-secondary-school-program-intern/","2026-06-25",""
"Assistant Representative, UNFPA Viet Nam Country Office","Consultancy / Contract","Bachelor's Degree","","Hanoi","Human Resources","","2026-06-23","Grade:
NO
D
Vacancy Type:
Fixed-Term Appointment (FTA)
Duty station:
Ha Noi, Viet Nam
Contract Duration:
1 Year with possibility for extension
Job ID:
34604
Apply before:
11
:
59
PM (Ha Noi Time, GMT+7) on
23 June 2026
—————————————————————————————————————————————-
PLEASE NOTE THAT THIS VACANCY IS OPEN ONLY TO NATIONALS OF VIET NAM.
The Position:
The Assistant Representative, in Coordination with the Representative, designs, develops, and manages an innovative and responsive country programme. You will lead the programme team, inspiring it to translate the regional and country goals into tangible solutions and results.
Job Purpose:
You will contribute to the management of UNFPA programme activities in the areas of population and development, reproductive health, youth empowerment and gender equality. Working to advance the ICPD policy agenda in a politically sensitive environment, you will respond to changing priorities of governments. Promoting partnership and strategic alliances with counterparts in government, multi-lateral and bilateral agencies and civil society will be key to your role. You will coordinate technical advisers and contribute to UN systems coordination through participation in policy dialogue and provision of inputs into joint common system initiatives.
Reporting to the UNFPA Representative, you will act on their behalf as required.
Qualifications and Experience
Education:
Advanced University degree in Public Health, Medicine, Sociology, Demography, Gender, International Relations, International Development, Economics, Public Administration, Management or other related disciplines.
Knowledge and Experience:
Seven (7) years of progressively responsible professional experience in the field of development and population activities, including programme designing, appraisal and management.
Demonstrated ability to refine programme design to ensure alignment of organisational programme objectives to national priorities/capacities.
Proven ability to lead and manage teams to achieve demonstrable results.
Excellent written and oral communication skills to foster engaged partnerships at a high level of representation and to maintain political partnerships.
Basic AI literacy, including the ability to effectively use AI tools, is highly desirable.
Strong critical thinking skills to review, validate, fact-check, and refine AI-generated content to ensure accuracy, consistency, and alignment with organizational standards and brand voice are also highly desirable.
Languages:
Fluency in English and Vietnamese are required; knowledge of other official UN languages is desirable.
UNFPA Work Environment
UNFPA provides a work environment that reflects the values of gender equality, diversity, integrity and healthy work-life balance. We are committed to ensuring gender parity in the organization and therefore encourage women to apply. Individuals from the LGBTQIA+ community, minority ethnic groups, indigenous populations, persons with disabilities, and other underrepresented groups are highly encouraged to apply. Reasonable accommodation may be provided to applicants with disabilities upon request, to support their participation in the recruitment process. UNFPA promotes equal opportunities in terms of appointment, training, compensation and selection for all regardless of personal characteristics and dimensions of diversity. Diversity, Equity and Inclusion is at the heart of UNFPA’s workforce – click
here
to learn more.
Disclaimer:
Selection and appointment may be subject to background and reference checks, medical clearance, visa issuance and other administrative requirements.
UNFPA does not charge any application, processing, training, interviewing, testing or other fee in connection with the application or recruitment process and does not concern itself with information on applicants’ bank accounts.
Applicants for positions in the international Professional and higher categories, who hold permanent resident status in a country other than their country of nationality, may be required to renounce such status upon their appointment.
To view the complete job description and apply for this position, click
HERE
.
For information on time to hire national positions at UN agencies in Viet Nam, click
HERE","","https://www.unfpa.org/diversity-equity-inclusion","UNFPA","","NGO / Development","","UN Agency","https://www.unfpa.org/diversity-equity-inclusion","Hanoi","","https://careerone.vn/jobs/assistant-representative-unfpa-viet-nam-country-office/","2026-06-23",""
"Consultancy for training and technical advisory services on occupational safety and health (OSH) improvement for Seanamico (Nam Can Seafood Import-Export Company)","Consultancy / Contract","","","Ca Mau","Consultancy","","2026-06-18","VCCI-HCM is seeking a consultant/consulting firm to provide training and technical advisory services on occupational safety and health (OSH) improvement for Seanamico (Nam Can Seafood Import-Export Company) under the project “Improving International Market Access for Shrimp and Rice Enterprises through Enhanced Workforce Skills and Occupational Safety and Health”.
Implementation period: From 25 June 2026 to 30 July 2026
Please refer to the attached
Terms of Reference
(TOR) for detailed requirements.
Proposals should be submitted via email to
[email protected]
or delivered to VCCI-HCM Office, 4th Floor, Rooms 405–406, 171 Vo Thi Sau Street, Xuan Hoa Ward, Ho Chi Minh City.
Application deadline:
18 June 2026
.","thanh.nguyen@vcci-hcm.org.vn","","VCCI -HCM","","NGO / Development","","NGO / Development","","Ca Mau","","https://careerone.vn/jobs/consultancy-for-training-and-technical-advisory-services-on-occupational-safety-and-health-osh-improvement-for-seanamico-nam-can-seafood-import-export-company/","2026-06-18",""
"Social Worker","Full-time","","","Ho Chi Minh","Development / NGO","","2026-06-29","working in Ho Chi Minh city. A detailed job description can be found <
here
>.
We are looking for people who wish to serve, love to work in a team, and are excited by fast-paced challenges.
Blue Dragon is a child-safe organisation and provides equal employment opportunities for all positions to all suitable people without discrimination. We encourage people with disabilities and from minority groups to apply.
Please send your CV and Cover Letter to
[email protected]
before
June 29, 2026
. Contact person: Ms. Lan Nguyen.","jobs@bdcf.org","http://www.bluedragon.org","Blue Dragon","","NGO / Development","","UN Agency","http://www.bluedragon.org","Ho Chi Minh","","https://careerone.vn/jobs/social-worker/","2026-06-29",""
"NUT-KIN-WASH Program Assistant; Education Program Assistant; Communication Assistant; Program Manager","Full-time","","","Da Nang","Health & Nutrition","","2026-06-30","Children of Vietnam (COV) is seeking to recruit the following positions:
1. Position 1:
NUT-KIN-WASH PROGRAM ASSISTANT
Number of Positions:
01
Location:
Children of Vietnam, Vietnam Office | 60 Nai Nam Street, Hoa Cuong Ward, Da Nang City
Application Deadline:
June 26, 2026.
2. Position 2:
EDUCATION PROGRAM ASSISTANT
Number of Positions:
01
Location:
Children of Vietnam, Vietnam Office | 60 Nai Nam Street, Hoa Cuong Ward, Da Nang City
Application Deadline:
June 30, 2026.
3. Position 3:
COMMUNICATION ASSISTANT
Number of Positions:
01
Location:
Children of Vietnam, Vietnam Office | 60 Nai Nam Street, Hoa Cuong Ward, Da Nang City
Application Deadline:
June 30, 2026.
4. Position 4:
PROGRAM MANAGER
Number of Positions:
01
Location:
Children of Vietnam, Vietnam Office | 60 Nai Nam Street, Hoa Cuong Ward, Da Nang City
Application Deadline:
June 30, 2026.
For further details, please see the attached vacancy announcements.","","","COV","","NGO / Development","","NGO / Development","","Da Nang","","https://careerone.vn/jobs/nut-kin-wash-program-assistant-education-program-assistant-communication-assistant-program-manager/","2026-06-30",""
"Invitation to Tender- FWA to provide beverages and processed food items for emergency relief","Full-time","","","","Communications & Advocacy","","2026-06-22","Save the Children is the World’s leading independent organisation for children. We save children’s lives; we fight for their rights; we help them fulfil their potential. We work together, with our partners, to inspire breakthroughs in the way the world treats children and to achieve immediate and lasting change in their lives.
We are inviting submissions for our tender package “FWA to supply beverages and processed food items for emergency relief”. Detailed instructions and tender response documents are available in the attached “
Ho so moi thau”
.
Bidders wishing to submit a bid
must use the
Bidder Response Document template
in Part 3 of this Tender package. Any bid received using different formats, or incomplete bids, will not be accepted. This document allows bidders to submit all the required information and be evaluated fairly and equally against the Essential, Capability and Commercial Criteria.
Please refer the
Appendix 1 – RFQ
Key details:
Submission Deadline:
18:00 on 22/06/2026.
Late submissions may be void.
Submission Email:
[email protected]
.
Important Notes:
This is a sealed tender box which will not be opened until the package has closed. Therefore, do not send package related questions to this email address.
An automatic reply message will confirm receipt of your submission. In case you do not receive this message, please screen shot the submission evidence and contact us for support.
The subject of the email should be
“ITT/<<SCIV-2026-ITT-002>>/Phản hồi của nhà thầu – ‘Tên nhà thầu’, ‘Ngày’’.
All attached documents should be clearly labelled so it is clear to understand what each file relates to.
Emails should not exceed 15mb – if the file sizes are large, please split the submission into multiple emails
Do not copy other SCI email addresses
, as this will invalidate your bid.
Enquiries / Clarifications: please email
[email protected]
Deadline for submission of clarification questions:
8 June 2026.
Reponses will be provided by
15 June 2026","Vietnam.Quotation@savethechildren.org","","SCI","","NGO / Development","","NGO / Development","","","","https://careerone.vn/jobs/invitation-to-tender-fwa-to-provide-beverages-and-processed-food-items-for-emergency-relief/","2026-06-22",""
"Human Resource Officer","Full-time","Bachelor's Degree","1 - 2 Years","Hanoi","Human Resources","","2026-07-15","Job description
The
HR Officer
is responsible for all human resources functions, including recruitment, training, and personnel file management. This role oversees payroll administration, and staff benefits while ensuring compliance with labor laws. Reporting to the Line Manager & ENV Management Board, facilitating effective communication and efficient HR operations.
Main Responsibilities
Recruitment
Orientation training for new staff
Personnel management includes personnel file management: employee contracts; visas and work permits; staff Database; termination process
Payroll and benefits
Attendance record,
Staff benefits and compensation
Social insurance
Special benefits management
Office administration and management
Rental and service contracts
Equipment management, maintenance, and inventories.
Policies and procedures
Policy enforcement: ENV policies, procedures, and employee handbook,
Labor law compliance
Reporting and communications
Communications with management board; Input and improvements.
Collecting monthly reports.
Security, safety, reception & maintenance management
Other tasks assigned by Line Manager & Management Board
Job requirements
Female, Vietnamese
University degree
Strong administrative, HR & management experience (2-3 years)
Ability to pay attention to details and carry out work accurately, meeting high quality standards
Fluent verbal and written English
Excellent communications skills and an ability to communicate and work with others
Computer literacy: Word, Excel, Internet.
Ability to work independently, take initiative, and pay close attention to details
Benefits
Competitive, performance-based salary
Performance recognition/rewards
Standard 40 working hours: Monday to Friday
12 public holidays (Lunar New Year, Christmas and other public holidays)
12 paid leave days (up to 20 paid leave days for long-term employment staff)
Annual health check
Staff outings, parties, special events
Additional training opportunities
How to apply:
Send the following documents to
[email protected]
,
[email protected]
ENV Application Form, with personal CV, Subject:
Full name_ HR Officer
Application form (download and fill out the form): This form is compulsory
***Candidates are REQUIRED to complete the ENV Application form below:
https://docs.google.com/document/d/1nrm2Bu_OCtqD6HiiuUfXUS2J5mO4WGQ7/edit
We will contact our selected candidates in 3 – 5 working days after receiving your application.
ABOUT ENV
Education for Nature – Vietnam (ENV) was established in 2000 as Vietnam’s first non-governmental organization focused on wildlife conservation. ENV has spearheaded efforts to end Vietnam’s illegal wildlife trade by employing out-of-the-box strategies that strengthen wildlife protection legislation and its application, provide support to law enforcement in addressing wildlife crime, and engage the public to reduce consumer demand and mobilize public action to protect wildlife. ENV is committed to securing a better future for wildlife, both in Vietnam and globally.
For more details on our work, please visit our websites:
Vietnamese language:
thiennhien.org
English language:
env4wildlife.org","humanresources.env@gmail.com","http://www.thiennhien.org","ENV","","NGO / Development","","NGO / Non-Profit","http://www.thiennhien.org","Hanoi","","https://careerone.vn/jobs/human-resource-officer-2/","2026-07-15",""
"Administrative Assistant","Full-time","Diploma","","Hanoi","Communications & Advocacy","","2026-07-15","supports the day-to-day administrative operations of ENV, including front office coordination, HR support, mail handling, resources/store organization, and office/equipment maintenance. The role reports to the Line Manager and ENV Management Board.
Main Responsibilities
Telephone & Reception Support: Answer incoming calls professionally and direct them to the appropriate staff/department
Front Office & Office Readiness: Maintain cleanliness, organization, and general readiness of the reception and office areas.
HR & Admin Support: Support to maintain accurate, up-to-date personnel files for all ENV staff; Track staff birthdays and send e-cards; Coordinate recurring staff recognition and social activities (e.g., monthly birthday, Employee of the Month, staff parties); Ensure accurate employee sign-in/sign-out logs and follow up on any discrepancies.
Office and equipment maintenance: Ensure daily office operations run smoothly by managing equipment upkeep, coordinating repairs, and executing scheduled preventative maintenance.
Resources & Store Management: Monitor and manage ENV resources and store supplies, including basic tracking and replenishment support.
Post Office: Collect, sort, and send mail/parcels; manage monthly postage invoices through reconciliation and record-keeping.
Other tasks assigned by Management Board
Job Requirements
A Vietnamese with strong language skills combined with key personal qualities, including:
College degree
Having administrative experience
Honest, careful, and the ability to pay attention to details and carry out work accurately
Time management
Ability to work independently with limited supervision, take initiative
Good communications skills and able to communicate and work with others
Good English will be an advantage
Computer literacy: Word, Excel, Internet
How to apply
Send the following documents to the email
[email protected]
,
[email protected]
ENV Application Form, with personal CV, Subject:
Full name_ Administrative Officer
Application form (download and fill out the form):
https://docs.google.com/document/d/1nrm2Bu_OCtqD6HiiuUfXUS2J5mO4WGQ7/edit?tab=t.0
Benefits
Competitive, performance-based salary
Performance recognition/rewards
Standard 40 working hours: Monday to Friday
12 public holidays (Lunar New Year, Christmas and other public holidays)
12 paid leave days (up to 20 paid leave days for long-term employment staff)
Annual health check
Staff outings, parties, special events
Additional training opportunities
ABOUT ENV
Education for Nature – Vietnam (ENV) was established in 2000 as Vietnam’s first non-governmental organization dedicated to wildlife conservation. ENV has led efforts to end Vietnam’s illegal wildlife trade by employing innovative strategies that strengthen wildlife protection laws and their enforcement, support law enforcement in addressing wildlife crime, and engage the public to reduce consumer demand and mobilize action for wildlife protection. ENV is committed to securing a better future for wildlife in Vietnam and globally.
For more details on our work, please visit our websites:
Vietnamese language:
thiennhien.org
English language:
env4wildlife.org","humanresources.env@gmail.com","http://www.thiennhien.org","ENV","","NGO / Development","","NGO / Non-Profit","http://www.thiennhien.org","Hanoi","","https://careerone.vn/jobs/administrative-assistant-3/","2026-07-15",""
"Call for quotations: Domestic flight ticket","Consultancy / Contract","","No Experience Required","","Consultancy","","2026-06-24","Background:
Founded in 1982, VVOB is a non-profit organization with 40 years of experience in improving quality education systems from a rights-based perspective. VVOB currently has long term partnerships with education actors in multiple countries in South America, Africa and South-East Asia alongside its head office location in Belgium.
In Vietnam, VVOB is currently implementing the following projects:
Preschool Teachers Apply Language-rich Teaching Skills and Knowledge (TALK) (2022-2026)
Learning through Play integration in higher education teacher training (PlayHi) (2025-2029)
VVOB is currently seeking service provider to support us in booking the domestic flight ticket from 2026 – 2028.
Please refer to the Call for Quotations in both
English
and
Vietnamese
for further details.
VVOB invites service providers to submit the quotation in Vietnamese/English via email to
[email protected]
no later than
23:59 (Vietnam time) – 24 June 2026
and mention in the subject line: “VVOB_2026_002_Name of service provider
”","procurement.vvob@org.vn","","VVOB","","NGO / Development","","NGO / Non-Profit","","","","https://careerone.vn/jobs/call-for-quotations_domestic-flight-ticket/","2026-06-24",""
"Request for Expressions of Interest from Coaches, Sector Advisors, and Business Consultants","Consultancy / Contract","Bachelor's Degree","No Experience Required","","Finance & Accounting","","2026-06-30","About SNV
SNV is a global development partner rooted in the African and Asian countries where we operate. With 60 years of experience and a team of approximately 1,600 people, it is our mission to strengthen capacities and catalyse partnerships that transform the agri-food, energy, and water systems to enable sustainable and more equitable lives for all. These efforts are guided by cross-cutting themes such as climate adaptation and mitigation, gender equality and social inclusion, and strong institutions and effective governance.
In Vietnam, SNV has been active since 1995, collaborating with communities, government agencies, and businesses across more than 50 provinces.
Background and objectives of assignment
Under the Green Innovation Grants Initiative (GIGI) part of the Shifting Investment Flows Towards Green Transformation (SHIFT) project, SNV Netherlands Development Organisation supports innovative small and medium-sized (SMEs) developing and deploying innovative solutions that contribute to the energy transition and greenhouse gas (GHG) emissions reduction in Vietnam. Supported SMEs operate across a range of sectors, including renewable energy, energy efficiency, bioenergy, low-emission transport, digitalisation, and other clean energy or climate solutions.
To complement grant funding and strengthen implementation capacity, SNV is establishing a roster of pre-qualified experts who can provide targeted coaching, sector advisory services, and business consulting support based on the specific needs of supported SMEs and projects. Assignments may include both short-term technical assistance, strategic business advisory services, and ongoing coaching engagements focused on areas such as technical implementation, business growth, operational strengthening, investment readiness, and leadership support.
Level of effort
Participating SMEs may receive up to 15 hours of sector advisory service, business consulting support, and coaching over a 12-month period, depending on identified needs, programme priorities, and expert availability.
Assignments may be delivered virtually and/or in-person and may vary in scope and duration depending on programme requirements. All assignments will happen between July 2026 and December 2027.
Inclusion in the roster does not guarantee a minimum level of engagement or assignment.
Areas of Expertise
We are seeking experts with experience in one or more of the areas listed below:
Sector Advisors
Sector advisors provide sectoral and technical, guidance to support technology validation, deployment readiness, commercialisation, and scale-up in the clean energy and climate sector. Indicative areas of expertise include:
Renewable energy solutions (e.g. solar, wind, distributed energy systems, energy storage, etc.)
Energy efficiency and energy management
Bioenergy and biofuels
Low-emission transport and e-mobility solutions
Digitalisation and climate technology solutions
Greenhouse gas (GHG) emissions measurement and reporting
Environmental and social risk management
Energy and climate policy and regulatory advisory
Carbon markets and climate finance mechanisms
Business Consultants
Business consultants provide targeted, specialised business support requiring specific expertise and deliverable-oriented assignments. Indicative areas of expertise include:
Business model development and commercialisation
Financial planning and investment readiness
Market assessment and go-to-market strategy
Operations and growth strategy
Sales strategy (pricing, channels, partnerships)
Commercial contracting and deal structuring
Preparation of investment-grade materials (pitch deck, financial model, ESG plan, etc.)
Investor communication and pitch delivery
ESG/GESI integration into business plan and reporting
Market research and competitive analysis
Coaches
Coaches support founders and leadership teams in strengthening leadership, communication, strategic decision-making, and organisational effectiveness. Indicative areas of expertise include:
Leadership and management coaching for founders and senior management
Founder/Leadership effectiveness and organisational development
Strategic prioritisation and decision-making
Team management and communication
Founder/leadership resilience and adaptive leadership
Other experience and qualifications
Educational background:
Bachelor’s degree or higher in relevant technical, business, financial, legal, environmental, or related fields
Relevant professional certifications or coaching certifications are an advantage
Language requirements:
Professional working proficiency in English
Fluency in Vietnamese is highly desirable
Professional Experience:
Minimum 5 years of relevant professional experience
Demonstrated experience working with SMEs, startups, or growth-stage
Experience providing coaching, advisory, or technical assistance services
Familiarity with the Vietnam and/or Southeast Asia / Asia Pacific (APAC) market is required
Others:
Nationals of Vietnam belonging to historically underrepresented or disadvantaged groups (women, people with disabilities, people from ethnic minority groups, and other underrepresented communities) are strongly encouraged to apply.
Submission requirements
Interested
individual consultants
are requested to submit the completed and signed Letter of Interest, available for download at
LINK
.
Please submit the
signed Letter of Interest
together with the following supporting documents via the instruction in this site
https://smrtr.io/y_P53
Attachment 1:
Updated CV/Resume
Attachment 2:
Areas of expertise selection & 02 references
Attachment 3:
Relevant qualifications, including demonstration of experience coaching or providing services to SMEs, certificates, and professional licenses
Attachment 4:
Scanned copy of national identity card/passport
EOIs are accepted on a rolling basis until
June 30, 2026
.
All questions regarding this call should be sent to
[email protected]
Selection process
SNV will review all EOIs received in ","https://c.smartrecruiters.com/sr-company-attachments-prod-aws-dc5/58919688e4b0672cc03331a9/9a722b71-d04a-4e67-8512-b91336c93a87?r=s3-eu-central-1","https://c.smartrecruiters.com/sr-company-attachments-prod-aws-dc5/58919688e4b0672cc03331a9/9a722b71-d04a-4e67-8512-b91336c93a87?r=s3-eu-central-1","SNV","","NGO / Development","","UN Agency","https://c.smartrecruiters.com/sr-company-attachments-prod-aws-dc5/58919688e4b0672cc03331a9/9a722b71-d04a-4e67-8512-b91336c93a87?r=s3-eu-central-1","","","https://careerone.vn/jobs/request-for-expressions-of-interest-from-coaches-sector-advisors-and-business-consultants/","2026-06-30",""
"Senior Program Coordinator","Full-time","Bachelor's Degree","1 - 2 Years","Hoi An","Human Resources","","2026-06-30","to work closely with our entire team and program Trainees, reporting to the Executive Director.
Senior Program Coordinator
Job Responsibilities:
Implement STREETS structured recruitment process, including partner networking, program introductions, and regional travel.
Supervise Trainee residence, budgets, and staff, to ensure Trainee well-being, discipline, safety, and hygiene.
Conduct quarterly individual Trainee progress meetings.
Co-manage Training Center facility and operations to STREETS’ guidelines, including class scheduling, logistics, and facility upkeep.
Coordinate Trainees’ hotel industry field trips, externships, and employment.
Complete administrative activities as assigned.
Qualifications:
College or University Degree.
Minimum 2 years of coordinator or supervisory experience in hospitality, business, NGO, or social enterprises.
Demonstrated ability for detail-oriented focus.
Excellent written and verbal English communication skills.
Proficient in Google Workspace and Microsoft Office software.
Requirements:
Flexible work schedule, including weekends, evenings, and holidays.
Live in or relocate to Hoi An at the start of employment; a one-time relocation expense provided.
100% Non-smokers only.
Salary:
Very competitive salary with extraordinary opportunities for promotion and growth within STREETS International.
APPLICATION INFORMATION:
Interested candidates should send a cover letter and curriculum vitae in
English
to
[email protected]
.
Note any prior employment application to STREETS on the application.
Application closing date 30
June 2026
.
Only those selected for interviews will be contacted.
NOTE: AI-generated cover letters and CVs will be rejected.","recruit@streetsinternational.org","","STREETS","","NGO / Development","","NGO / Non-Profit","","Hoi An","","https://careerone.vn/jobs/senior-program-coordinator-2/","2026-06-30",""
"[Extension] Senior Epidemiology and Surveillance Officer","Full-time","Master's Degree","6 - 10 Years","Hanoi","Programme / Project Management","","2026-06-30","Location: Hanoi, Vietnam
FHI 360 is a nonprofit human development organization dedicated to improving lives in lasting ways by advancing integrated, locally driven solutions. Our staff includes experts in health, public health threats, education, nutrition, environment, economic development, civil society, gender, youth, research, technology, communication, and social marketing – creating a unique mix of capabilities to address today’s interrelated development challenges. FHI 360 serves more than 50 countries and all U.S. states and territories.
Job Summary:
The Strengthening Infectious disease Detection Systems (STRIDES) Senior Epidemiology and Surveillance Officer will oversee the implementation of the Activity’s epidemiology and surveillance activities in Vietnam. The Senior Epidemiology and Surveillance Officer will supervise other staff and collaborate closely with national and sub-national health security actors. They will provide technical support to relevant ministries and partners and their structural divisions on developing and/or updating infectious disease detection and surveillance strategies, collaborating with STRIDES technical staff members to ensure that project activities are on track with work plans and that technical expertise informs project implementation. They will oversee planning and implementation activities to improve quality and performance and prepare project deliverables, including contributing to annual work plans at the country level, publications, and external communications. They will lead the development/revision of best practice documents, monitor budgets, and provide thought leadership at the country level.
Accountabilities:
Technical Requirements:
Provides project staff with overall technical direction and guidance in the areas of epidemiology and surveillance, in line with STRIDES’ expected outcomes.
Supports technical aspects of STRIDES Vietnam epidemiology and surveillance activities, including staff and partner capacity building.
Monitors and maintains project protocols, instruments, data sets, manuals, training materials, and reports related to epidemiology and surveillance.
Works closely with STRIDES Vietnam and STRIDES US staff to ensure project implementation remains technically sound and adheres to company strategy and standard operating procedures (SOP).
Develops or writes technical briefs, reports, or other necessary materials to facilitate research, best practices, policies, and procedures.
Conducts analysis of project implementation to identify areas for improvement and propose appropriate technical strategy and guidelines.
Assists with the implementation of research studies by providing technical support and overall management to ensure coordination and field-level implementation.
Provides mentorship and team building at the task level.
Provides technical support in the development and dissemination of tools, materials, reports, papers, and interventions for research projects.
Provides technical input on subject matter best practices to assist with implementation
May create or provide inputs to the technical portion of the project plan related to epidemiology and surveillance, within the given resources and financial constraints.
Assists with implementing components of the epidemiology and surveillance portions of the project plan
Networks with key internal and external STRIDES personnel and liaises with STRIDES Monitoring, Evaluation, and Learning team to measure the Activity’s epidemiology and surveillance activities against project indicators.
Develops and monitors technical work plans and budgets.
Participate in client/funder meetings and draft reports/presentations
Performs other duties as assigned
Project Design and Implementation:
Develops strategies and tools for the design and implementation of epidemiological and surveillance components.
Monitors project deliverables and reports to supervisors.
Leads technical project activities and sub-activities and assists with project implementation of epidemiology and surveillance technical components.
Identifies and raises issues to senior technical staff.
Functions as the technical lead with oversight of project technical administrative and finance compliance, technical deliverables, and team management, (includes projects and consultants).
Operations Management (Finance, HR, etc.):
Ensures project activities are on track with work plans, with technical expertise informing project implementation.
Collaborates with project leadership and finance team to track activity timelines and budgets. Assists in the development of client reports and presentations.
Collaborates with project finance to track technical project spend under broad supervision.
Collaborates with project finance, administration, and procurement teams as required to ensure the timely implementation of project laboratory and diagnostic activities.
Project/Program Reporting:
Prepares reports and papers summarizing project results and analyzes data sets and technical assessment findings.
Drafts/prepares client technical reports.
Creates technical content (e.g., reports, presentations, manuscripts).
Quality Assurance:
Develops in-depth knowledge of quality standards through a formalized system that documents processes, procedures, and responsibilities for achieving quality policies and objectives.
Coordinates and directs activities to meet client/funder and regulatory requirements.
Applied Knowledge & Skills:
In-depth knowledge of concepts, practices, and procedures for providing technical support.
Development of scopes of work and deliverables for partners, consultants, etc.
Broader knowledge of quality standards
Proficiency with database management software and online search tools required.
Has sensitivity to cultural diversity and understanding of the political, contextual, and ethical issues in assigned areas.
Articulate, professional, and able to communicate in a clear, positive manner with clients and staff.
Must be able ","","https://www.fhi360.org/careers","FHI 360","","NGO / Development","","NGO / Non-Profit","https://www.fhi360.org/careers","Hanoi","","https://careerone.vn/jobs/extension-senior-epidemiology-and-surveillance-officer-3/","2026-06-30",""
